Date,Open,High,Low,Close,Volume,Adj Close
2016-02-12,11.48,12.03,11.40,11.95,240105800,11.95
2016-02-11,11.46,11.55,10.99,11.16,368961400,11.16
2016-02-10,12.42,12.54,11.91,11.98,214441300,11.98
2016-02-09,11.99,12.43,11.96,12.20,246411200,12.20
2016-02-08,12.67,12.70,12.13,12.27,210649900,12.27
2016-02-05,13.32,13.39,12.89,12.95,121338400,12.95
2016-02-04,12.89,13.59,12.89,13.25,174899200,13.25
2016-02-03,13.28,13.29,12.52,13.03,256731100,13.03
2016-02-02,13.74,13.75,13.13,13.23,146035400,13.23
2016-02-01,14.05,14.09,13.80,13.96,105084100,13.96
2016-01-29,13.66,14.15,13.59,14.14,155988500,14.14
2016-01-28,13.59,13.71,13.26,13.53,110415500,13.53
2016-01-27,13.20,13.73,13.19,13.36,122001500,13.36
2016-01-26,13.07,13.35,13.04,13.31,123553300,13.31
2016-01-25,13.54,13.55,12.94,12.96,185511500,12.96
2016-01-22,13.65,13.72,13.47,13.56,169031800,13.56
2016-01-21,13.67,13.84,13.25,13.36,188162000,13.36
2016-01-20,13.79,14.00,13.27,13.69,248711800,13.69
2016-01-19,14.69,14.79,14.01,14.24,184392200,14.24
2016-01-15,14.41,14.66,14.13,14.46,170939300,14.46
2016-01-14,15.01,15.20,14.65,14.99,125143800,14.99
2016-01-13,15.47,15.52,14.85,14.90,118654500,14.90
2016-01-12,15.54,15.58,15.06,15.31,98556600,15.31
2016-01-11,15.26,15.37,14.94,15.31,104379900,15.31
2016-01-08,15.94,15.94,15.16,15.20,116659400,15.20
2016-01-07,15.73,15.90,15.44,15.50,115361300,15.50
2016-01-06,16.190001,16.290001,16.02,16.08,83736500,16.08
2016-01-05,16.52,16.59,16.23,16.43,66297300,16.43
2016-01-04,16.450001,16.49,16.25,16.43,113868900,16.43
2015-12-31,17.01,17.07,16.83,16.83,46594300,16.83
2015-12-30,17.200001,17.24,17.040001,17.049999,34910400,17.049999
2015-12-29,17.25,17.35,17.16,17.280001,45560300,17.280001
2015-12-28,17.219999,17.23,16.98,17.129999,41281700,17.129999
2015-12-24,17.32,17.379999,17.219999,17.27,29369400,17.27
2015-12-23,17.16,17.34,17.10,17.34,57312900,17.34
2015-12-22,17.049999,17.110001,16.85,17.08,55928400,17.08
2015-12-21,16.98,17.030001,16.77,16.969999,64496300,16.969999
2015-12-18,17.190001,17.27,16.76,16.76,133617800,16.76
2015-12-17,17.799999,17.83,17.299999,17.299999,91266600,17.299999
2015-12-16,17.65,17.780001,17.23,17.75,168648300,17.75
2015-12-15,17.02,17.49,16.99,17.42,99289600,17.42
2015-12-14,16.76,16.889999,16.50,16.799999,119452100,16.799999
2015-12-11,16.969999,17.059999,16.639999,16.73,90913600,16.73
2015-12-10,17.15,17.41,16.959999,17.200001,68304000,17.200001
2015-12-09,17.110001,17.379999,16.870001,17.10,80057300,17.10
2015-12-08,17.389999,17.459999,17.129999,17.190001,84873500,17.190001
2015-12-07,17.790001,17.799999,17.440001,17.540001,81633300,17.540001
2015-12-04,17.440001,17.83,17.379999,17.799999,103021700,17.799999
2015-12-03,17.68,17.77,17.25,17.299999,95810100,17.299999
2015-12-02,17.879999,17.889999,17.549999,17.620001,76919000,17.620001
2015-12-01,17.52,17.809999,17.48,17.809999,74351800,17.759999
2015-11-30,17.48,17.58,17.42,17.43,61893700,17.381067
2015-11-27,17.459999,17.50,17.33,17.48,22937500,17.430926
2015-11-25,17.51,17.57,17.41,17.440001,34939000,17.391039
2015-11-24,17.26,17.57,17.25,17.469999,58724200,17.420953
2015-11-23,17.620001,17.73,17.459999,17.469999,50362900,17.420953
2015-11-20,17.809999,17.83,17.59,17.65,56288300,17.600448
2015-11-19,17.780001,17.85,17.620001,17.690001,51829700,17.640337
2015-11-18,17.43,17.870001,17.43,17.84,85708300,17.789915
2015-11-17,17.50,17.60,17.34,17.42,70488600,17.371094
2015-11-16,17.129999,17.459999,17.01,17.43,70384300,17.381067
2015-11-13,17.129999,17.309999,17.09,17.200001,103574900,17.151713
2015-11-12,17.58,17.629999,17.35,17.370001,77850900,17.321236
2015-11-11,17.99,17.99,17.68,17.75,59235000,17.700168
2015-11-10,17.629999,17.940001,17.559999,17.85,59905800,17.799888
2015-11-09,18.030001,18.08,17.559999,17.68,129920700,17.630365
2015-11-06,17.84,18.09,17.76,17.950001,158037500,17.899607
2015-11-05,17.030001,17.370001,17.030001,17.309999,85505500,17.261403
2015-11-04,17.299999,17.309999,16.959999,17.01,78728400,16.962246
2015-11-03,17.01,17.26,16.99,17.18,66127100,17.131769
2015-11-02,16.90,17.139999,16.870001,17.059999,56948200,17.012105
2015-10-30,17.18,17.18,16.76,16.780001,87645800,16.732892
2015-10-29,17.16,17.440001,16.969999,17.09,95542300,17.042021
2015-10-28,16.450001,17.309999,16.450001,17.280001,147720100,17.231488
2015-10-27,16.40,16.469999,16.299999,16.40,56159300,16.353958
2015-10-26,16.52,16.549999,16.34,16.51,67702800,16.463649
2015-10-23,16.290001,16.549999,16.25,16.52,82285800,16.473622
2015-10-22,16.00,16.200001,16.00,16.16,74116600,16.114632
2015-10-21,16.26,16.290001,15.90,15.90,64440400,15.855361
2015-10-20,16.16,16.290001,16.10,16.200001,50797800,16.15452
2015-10-19,16.00,16.209999,15.98,16.139999,62953500,16.094687
2015-10-16,16.290001,16.290001,16.030001,16.120001,66791000,16.074745
2015-10-15,15.81,16.280001,15.72,16.190001,127028800,16.144548
2015-10-14,15.77,15.92,15.55,15.64,122272400,15.596092
2015-10-13,15.45,15.59,15.40,15.52,73689800,15.476429
2015-10-12,15.60,15.62,15.43,15.52,50725800,15.476429
2015-10-09,15.75,15.82,15.50,15.58,76667100,15.53626
2015-10-08,15.72,15.78,15.51,15.75,79056900,15.705783
2015-10-07,15.78,15.93,15.57,15.75,66655600,15.705783
2015-10-06,15.68,15.82,15.57,15.69,67473700,15.645951
2015-10-05,15.45,15.79,15.44,15.69,75315300,15.645951
2015-10-02,15.08,15.38,14.63,15.38,181838400,15.336822
2015-10-01,15.52,15.64,15.36,15.55,71516800,15.506345
2015-09-30,15.55,15.60,15.32,15.58,71347100,15.53626
2015-09-29,15.50,15.53,15.25,15.35,79829400,15.306906
2015-09-28,15.79,15.82,15.38,15.47,91324300,15.426569
2015-09-25,15.88,16.02,15.81,15.89,88655000,15.84539
2015-09-24,15.54,15.62,15.40,15.55,99520100,15.506345
2015-09-23,15.60,15.85,15.58,15.72,78117500,15.675867
2015-09-22,15.49,15.58,15.45,15.57,92235200,15.526288
2015-09-21,15.67,15.75,15.57,15.70,79096200,15.655923
2015-09-18,15.68,15.71,15.50,15.56,136531200,15.516317
2015-09-17,16.290001,16.48,15.78,15.86,119088200,15.815474
2015-09-16,16.35,16.389999,16.09,16.33,83776400,16.284154
2015-09-15,16.040001,16.389999,16.01,16.309999,62327100,16.26421
2015-09-14,15.97,16.07,15.90,15.96,50640900,15.915193
2015-09-11,15.99,16.059999,15.90,16.040001,54287700,15.99497
2015-09-10,15.87,16.110001,15.81,16.040001,71110200,15.99497
2015-09-09,16.370001,16.459999,15.83,15.90,70466100,15.855361
2015-09-08,15.96,16.16,15.90,16.16,73960200,16.114632
2015-09-04,15.79,15.86,15.50,15.65,104539500,15.606063
2015-09-03,15.97,16.190001,15.87,15.94,77175800,15.895249
2015-09-02,15.82,15.86,15.57,15.85,74820400,15.805502
2015-09-01,15.95,16.049999,15.46,15.58,119064000,15.4864
2015-08-31,16.33,16.379999,16.18,16.34,66695200,16.241835
2015-08-28,16.40,16.440001,16.200001,16.360001,75899300,16.261715
2015-08-27,16.379999,16.450001,16.09,16.440001,124185400,16.341234
2015-08-26,15.81,16.059999,15.34,16.059999,174208500,15.963516
2015-08-25,16.200001,16.200001,15.25,15.26,194377000,15.168323
2015-08-24,15.02,15.98,14.60,15.29,214649500,15.198143
2015-08-21,16.200001,16.66,16.10,16.10,148874300,16.003277
2015-08-20,17.190001,17.200001,16.719999,16.719999,149185400,16.619551
2015-08-19,17.549999,17.690001,17.440001,17.459999,78540500,17.355105
2015-08-18,17.719999,17.90,17.65,17.690001,50360700,17.583725
2015-08-17,17.610001,17.809999,17.559999,17.77,42310000,17.663244
2015-08-14,17.57,17.700001,17.540001,17.700001,52710300,17.593665
